"","trial_num","trial_type","trial_time_in_seconds","item_presentation_condition","agent","object","property","item_name","n_examples","speaker","background","slider_response","slider_time_in_seconds","worker_id"
"106",1,"trial",17.19,"accidental","Sheep","flower","purple petals","dax",1,"mh",5,0.65,4.129,"00dd778cf7a63216aeb4b168e45b65b6"
"107",2,"trial",15.735,"accidental","Dog","artifact","squeaking","blicket",1,"sb",2,0.67,2.453,"00dd778cf7a63216aeb4b168e45b65b6"
"108",3,"trial",20.376,"accidental","Tiger","bird","green feathers","fep",1,"tg",4,0.78,3.985,"00dd778cf7a63216aeb4b168e45b65b6"
"109",1,"trial",19.786,"accidental","Tiger","flower","purple petals","blicket",1,"sb",5,0.65,10.376,"0e1a3987532b580669d1439011d71498"
"110",2,"trial",16.755,"accidental","Sheep","bird","green feathers","fep",1,"mh",4,0.68,5.83,"0e1a3987532b580669d1439011d71498"
"111",3,"trial",14.552,"accidental","Cat","artifact","squeaking","dax",1,"tg",3,0.84,5.113,"0e1a3987532b580669d1439011d71498"
"112",1,"trial",21.727,"accidental","Sheep","artifact","squeaking","blicket",1,"sb",10,0.55,6.286,"557054b502ed95532db6cc9f59cb163b"
"113",2,"trial",17.792,"accidental","Dog","bird","green feathers","fep",1,"mh",8,0.89,5.927,"557054b502ed95532db6cc9f59cb163b"
"114",3,"trial",16.632,"accidental","Monkey","flower","purple petals","dax",1,"tg",9,0.83,3.685,"557054b502ed95532db6cc9f59cb163b"
"115",1,"trial",17.052,"pedagogical","Sheep","bird","green feathers","fep",1,"sb",4,0.84,3.409,"6eb8e0659cf2d4ff568005a31c818daf"
"116",2,"trial",17.811,"pedagogical","Dog","flower","purple petals","blicket",1,"mh",10,0.83,9.867,"6eb8e0659cf2d4ff568005a31c818daf"
"117",3,"trial",50.711,"pedagogical","Elephant","artifact","squeaking","dax",1,"tg",3,0.83,2.159,"6eb8e0659cf2d4ff568005a31c818daf"
"118",1,"trial",20.817,"accidental","Monkey","artifact","squeaking","fep",1,"sb",9,1,12.116,"bfcf582eb620370c71369ae24559f68c"
"119",2,"trial",18.214,"accidental","Pig","flower","purple petals","blicket",1,"mh",10,1,8.765,"bfcf582eb620370c71369ae24559f68c"
"120",3,"trial",17.481,"accidental","Dog","bird","green feathers","dax",1,"tg",8,1,6.304,"bfcf582eb620370c71369ae24559f68c"
"121",1,"trial",20.153,"accidental","Monkey","flower","purple petals","fep",1,"mh",9,0.81,5.295,"7151cb038f74e07ea89744a60801c16c"
"122",2,"trial",15.68,"accidental","Sheep","artifact","squeaking","blicket",1,"sb",4,0.8,3.143,"7151cb038f74e07ea89744a60801c16c"
"123",3,"trial",15.49,"accidental","Elephant","bird","green feathers","dax",1,"tg",3,0.84,2.628,"7151cb038f74e07ea89744a60801c16c"
"124",1,"trial",24.95,"accidental","Pig","bird","green feathers","blicket",1,"tg",2,0.99,9.115,"ae752c16346406a7aaf5da045b786e6a"
"125",2,"trial",17.729,"accidental","Elephant","flower","purple petals","dax",1,"sb",10,0.99,3.727,"ae752c16346406a7aaf5da045b786e6a"
