workerid,proliferate.condition,agent,background,item_name,item_presentation_condition,n_examples,object,property,speaker,trial_num,trial_time_in_seconds,trial_type,error
96,pedagogical-2,,,,,,,,,0,11.711,introduction,
96,pedagogical-2,Cat,7,blicket,pedagogical,2,flower,purple petals,sb,1,,trial,
116,pedagogical-2,,,,,,,,,0,20.856,introduction,
116,pedagogical-2,Monkey,2,fep,pedagogical,2,flower,purple petals,mh,1,,trial,
112,pedagogical-2,,,,,,,,,0,10.442,introduction,
112,pedagogical-2,Sheep,9,fep,pedagogical,2,artifact,squeaking,sb,1,,trial,
128,pedagogical-2,,,,,,,,,0,5.488,introduction,
128,pedagogical-2,Tiger,5,blicket,pedagogical,2,flower,purple petals,sb,1,,trial,
64,pedagogical-2,,,,,,,,,0,7.36,introduction,
64,pedagogical-2,Pig,8,fep,pedagogical,2,flower,purple petals,sb,1,,trial,
100,pedagogical-2,,,,,,,,,0,5.591,introduction,
100,pedagogical-2,Sheep,4,fep,pedagogical,2,flower,purple petals,mh,1,,trial,
88,pedagogical-2,,,,,,,,,0,7.236,introduction,
88,pedagogical-2,Pig,9,dax,pedagogical,2,artifact,squeaking,mh,1,,trial,
52,pedagogical-2,,,,,,,,,0,14.364,introduction,
52,pedagogical-2,Pig,7,fep,pedagogical,2,flower,purple petals,sb,1,,trial,
56,pedagogical-2,,,,,,,,,0,10.365,introduction,
56,pedagogical-2,Tiger,8,dax,pedagogical,2,flower,purple petals,mh,1,,trial,
72,pedagogical-2,,,,,,,,,0,4.411,introduction,
72,pedagogical-2,Monkey,7,dax,pedagogical,2,bird,green feathers,tg,1,,trial,
80,pedagogical-2,,,,,,,,,0,21.406,introduction,
80,pedagogical-2,Pig,6,dax,pedagogical,2,bird,green feathers,sb,1,,trial,
120,pedagogical-2,,,,,,,,,0,10.088,introduction,
120,pedagogical-2,Monkey,2,dax,pedagogical,2,flower,purple petals,tg,1,,trial,
92,pedagogical-2,,,,,,,,,0,6.311,introduction,
92,pedagogical-2,Tiger,7,dax,pedagogical,2,flower,purple petals,sb,1,,trial,
60,pedagogical-2,,,,,,,,,0,26.082,introduction,
60,pedagogical-2,Monkey,10,dax,pedagogical,2,flower,purple petals,mh,1,,trial,
108,pedagogical-2,,,,,,,,,0,12.851,introduction,
108,pedagogical-2,Sheep,2,blicket,naive,2,flower,purple petals,mh,1,,trial,
76,pedagogical-2,,,,,,,,,0,1.797,introduction,
76,pedagogical-2,Tiger,7,dax,pedagogical,2,artifact,squeaking,mh,1,,trial,
104,pedagogical-2,,,,,,,,,0,2.581,introduction,
104,pedagogical-2,Bear,7,fep,pedagogical,2,flower,purple petals,tg,1,,trial,
84,pedagogical-2,,,,,,,,,0,9.409,introduction,
84,pedagogical-2,Bear,6,blicket,pedagogical,2,bird,green feathers,tg,1,,trial,
124,pedagogical-2,,,,,,,,,0,6.051,introduction,
124,pedagogical-2,Cat,1,dax,pedagogical,2,bird,green feathers,mh,1,,trial,
67,naive-2,,,,,,,,,0,8.919,introduction,
67,naive-2,Tiger,4,dax,naive,2,flower,purple petals,sb,1,,trial,
99,naive-2,,,,,,,,,0,14.175,introduction,
