workerid,proliferate.condition,Browser,OS,screenH,screenW,error
441,generic,Chrome,Mac,900,1440,
364,generic,Chrome,Mac,900,1440,
419,generic,Chrome,Windows,768,1366,
435,generic,Chrome,Mac,800,1280,
381,generic,Chrome,Mac,900,1440,
406,generic,Firefox,Windows,1080,1920,
326,generic,Firefox,Windows,1440,3440,
304,generic,Safari,iPhone/iPod,812,375,
346,generic,Chrome,Windows,768,1366,
310,generic,Chrome,Linux,900,1600,
321,generic,Chrome,Windows,1080,1920,
382,generic,Chrome,Windows,864,1536,
339,generic,Safari,Mac,900,1440,
388,generic,Chrome,Windows,900,1600,
399,generic,Chrome,Mac,1050,1680,
444,generic,Firefox,Windows,864,1536,
413,generic,Chrome,Mac,800,1280,
374,generic,Chrome,Windows,1080,1920,
450,generic,Chrome,Windows,864,1536,
380,generic,Chrome,Windows,864,1536,
429,generic,Chrome,Windows,720,1280,
354,generic,Chrome,Windows,1080,1920,
401,generic,Chrome,Windows,1200,1920,
362,generic,Firefox,Windows,864,1536,
333,generic,Chrome,Windows,864,1536,
315,accidental-2,Chrome,Linux,640,360,
320,accidental-2,Chrome,Windows,1024,1280,
417,accidental-2,Chrome,Windows,912,1368,
350,accidental-2,Chrome,Mac,900,1440,
290,accidental-2,Firefox,Windows,768,1366,
423,accidental-2,Chrome,Mac,900,1440,
356,accidental-2,Chrome,Mac,800,1280,
447,accidental-2,Chrome,Windows,1080,1920,
327,accidental-2,Chrome,Mac,800,1280,
361,accidental-2,Chrome,Windows,1080,1920,
379,accidental-2,Chrome,Windows,864,1536,
411,accidental-2,Chrome,Windows,864,1536,
434,accidental-2,Chrome,Windows,864,1536,
295,accidental-2,Chrome,Windows,720,1280,
332,accidental-2,Safari,iPhone/iPod,736,414,
338,accidental-2,Chrome,Windows,1440,2560,
405,accidental-2,Chrome,Windows,1080,1920,
453,accidental-2,Chrome,Windows,864,1536,
368,accidental-2,Chrome,Windows,768,1366,
303,accidental-2,Chrome,Linux,768,1366,
309,accidental-2,Chrome,Windows,1080,1920,
343,accidental-2,Chrome,Windows,864,1536,
387,accidental-2,Chrome,Windows,1080,1920,
373,accidental-2,Chrome,Windows,1080,1920,
440,accidental-2,Chrome,Windows,1080,1920,
299,accidental-2,Chrome,Mac,1050,1680,
393,accidental-2,Chrome,Windows,864,1536,
428,accidental-2,Chrome,Linux,760,360,
287,accidental-2,Safari,Mac,900,1440,
398,accidental-2,Chrome,Windows,1080,1920,
367,pedagogical-1,Chrome,Windows,768,1366,
416,pedagogical-1,Firefox,Windows,900,1600,
355,pedagogical-1,Chrome,Windows,864,1536,
319,pedagogical-1,Firefox,Windows,900,1600,
422,pedagogical-1,Chrome,Windows,1080,1920,
410,pedagogical-1,Chrome,Windows,864,1536,
325,pedagogical-1,Chrome,Windows,1080,1920,
337,pedagogical-1,Chrome,Windows,1080,1920,
302,pedagogical-1,Chrome,Windows,864,1536,
308,pedagogical-1,Chrome,Windows,864,1536,
292,pedagogical-1,Firefox,Windows,768,1366,
337,pedagogical-1,Firefox,Windows,1080,1920,
314,pedagogical-1,Chrome,Windows,768,1366,
294,pedagogical-1,Chrome,Windows,1080,1920,
378,pedagogical-1,Chrome,Windows,768,1366,
446,pedagogical-1,Chrome,Windows,1080,1920,
457,pedagogical-1,Chrome,Mac,900,1440,
427,pedagogical-1,Chrome,Windows,1050,1680,
439,pedagogical-1,Chrome,Windows,768,1366,
397,pedagogical-1,Chrome,Windows,864,1536,
433,pedagogical-1,Chrome,Windows,1080,1920,
298,pedagogical-1,Chrome,Linux,892,412,
360,pedagogical-1,Chrome,Windows,768,1366,
289,pedagogical-1,Chrome,Linux,740,360,
386,pedagogical-1,Chrome,Windows,1440,2560,
372,pedagogical-1,Chrome,Windows,864,1536,
331,pedagogical-1,Safari,Mac,1080,1920,
349,pedagogical-1,Chrome,Windows,1080,1920,
452,pedagogical-1,Chrome,Windows,720,1280,
404,pedagogical-1,Chrome,Windows,864,1536,
432,accidental-1,Chrome,Windows,864,1536,
307,accidental-1,Chrome,Windows,1080,1920,
415,accidental-1,Chrome,Windows,720,1280,
366,accidental-1,Chrome,Mac,900,1440,
426,accidental-1,Chrome,Windows,768,1366,
313,accidental-1,Chrome,Linux,768,1366,
421,accidental-1,Chrome,Windows,1080,1920,
297,accidental-1,Safari,Mac,900,1440,
371,accidental-1,Chrome,Windows,768,1366,
285,accidental-1,Chrome,Windows,912,1368,
409,accidental-1,Chrome,Windows,768,1366,
342,accidental-1,Chrome,Windows,864,1536,
318,accidental-1,Chrome,Mac,1440,2560,
391,accidental-1,Chrome,Mac,800,1280,
293,accidental-1,Chrome,Mac,900,1440,
456,accidental-1,Chrome,Windows,768,1366,
396,accidental-1,Chrome,Mac,900,1440,
377,accidental-1,Chrome,Linux,864,432,
301,accidental-1,Chrome,Windows,1080,1920,
353,accidental-1,Chrome,Windows,1080,1920,
438,accidental-1,Chrome,Windows,768,1366,
288,accidental-1,Chrome,Windows,768,1366,
336,accidental-1,Firefox,Mac,768,1366,
451,accidental-1,Chrome,Mac,1200,1920,
445,accidental-1,Chrome,Windows,1080,1920,
324,accidental-1,Chrome,Mac,900,1440,
348,accidental-1,Chrome,Linux,768,1366,
330,accidental-1,Chrome,Windows,900,1600,
455,accidental-1,Chrome,Windows,864,1536,
359,accidental-1,Firefox,Windows,1080,1920,
347,pedagogical-2,Chrome,Windows,720,1280,
370,pedagogical-2,Chrome,Windows,1080,1920,
384,pedagogical-2,Chrome,Mac,900,1440,
394,pedagogical-2,Firefox,Mac,900,1440,
341,pedagogical-2,Safari,iPhone/iPod,896,414,
312,pedagogical-2,Chrome,Linux,768,1366,
323,pedagogical-2,Chrome,Windows,864,1536,
296,pedagogical-2,Chrome,Mac,900,1440,
431,pedagogical-2,Chrome,Mac,768,1366,
283,pedagogical-2,Chrome,Linux,740,360,
390,pedagogical-2,Firefox,Mac,768,1366,
402,pedagogical-2,Chrome,Linux,960,1706,
376,pedagogical-2,Chrome,Mac,900,1440,
300,pedagogical-2,Chrome,Windows,768,1366,
420,pedagogical-2,Chrome,Windows,768,1366,
306,pedagogical-2,Chrome,Windows,864,1536,
425,pedagogical-2,Chrome,Windows,864,1536,
316,pedagogical-2,Chrome,Mac,900,1440,
365,pedagogical-2,Chrome,Windows,864,1536,
454,pedagogical-2,Chrome,Windows,900,1600,
284,pedagogical-2,Chrome,Mac,800,1280,
449,pedagogical-2,Chrome,Windows,864,1536,
334,pedagogical-2,Safari,Mac,1024,768,
358,pedagogical-2,Chrome,Mac,800,1280,
291,pedagogical-2,Safari,Mac,1024,768,
352,pedagogical-2,Chrome,Mac,800,1280,
408,pedagogical-2,Firefox,Windows,1024,1280,
328,pedagogical-2,Firefox,Mac,900,1440,
437,pedagogical-2,Chrome,Windows,900,1440,
414,pedagogical-2,Chrome,Windows,1080,1920,
340,gen+ped,Chrome,Mac,800,1280,
442,gen+ped,Chrome,Windows,960,1707,
345,gen+ped,Chrome,Mac,900,1440,
369,gen+ped,Chrome,Linux,749,360,
335,gen+ped,Safari,iPhone/iPod,736,414,
448,gen+ped,Chrome,Mac,800,1280,
363,gen+ped,Firefox,Mac,800,1280,
351,gen+ped,Chrome,Mac,900,1440,
407,gen+ped,Chrome,Windows,864,1536,
424,gen+ped,Safari,iPhone/iPod,736,414,
357,gen+ped,Firefox,Windows,1080,1920,
383,gen+ped,Chrome,Windows,768,1366,
400,gen+ped,Chrome,Windows,720,1280,
436,gen+ped,Chrome,Windows,768,1366,
305,gen+ped,Chrome,Windows,864,1536,
412,gen+ped,Chrome,Mac,900,1440,
322,gen+ped,Chrome,Windows,864,1536,
418,gen+ped,Chrome,Linux,640,360,
395,gen+ped,Chrome,Mac,900,1440,
389,gen+ped,Chrome,Mac,900,1440,
430,gen+ped,Chrome,Windows,1080,1920,
311,gen+ped,Chrome,Linux,1080,1920,
329,gen+ped,Firefox,Windows,864,1536,
317,gen+ped,Chrome,Windows,768,1366,
375,gen+ped,Chrome,Windows,864,1536,
